,Bed,Bath,Pet,Zip,Area,Price
227,3,1,0,11233,2150,9331.527660420172
228,1,1,0,10012,640,2200.5985077791393
229,3,1,0,10009,1150,4015.896652650975
230,1,1,1,10040,620,2465.1202109228816
231,2,1,0,10305,1865,8295.44572347183
232,3,3,1,10065,1400,12593.77216280215
233,2,1,0,11375,1100,4390.244174685435
234,0,1,0,10024,585,2871.7012790285316
235,1,1,0,10128,670,2546.612256312008
236,2,1,0,10010,890,3318.791535761511
237,1,1,1,10009,325,1220.6708918606273
238,1,1,1,10009,763,3635.227094124778
239,3,2,0,10016,1250,8020.682564374281
240,1,1,0,10021,514,1752.3181301336372
241,0,1,0,10011,500,2530.3873112517413
242,2,1,0,10025,650,1872.5880504152265
243,1,1,1,11101,600,2753.0805738113386
244,1,1,0,10016,710,2910.8051614913584
245,1,1,1,10023,768,3646.369322297269
246,1,1,0,10003,699,2870.6921206575844
247,5,2,0,10312,1200,6141.292533621867
248,1,2,0,10282,860,7080.38225102005
249,1,1,1,10010,717,3406.275364224103
250,3,3,1,10023,1500,13370.832185549305
251,3,1,0,10458,775,1780.3223425260867
252,3,1,0,10162,1150,3515.0500894341003
253,3,2,0,10021,1000,6564.510521778513
254,2,1,1,11249,800,3033.213273434495
255,1,1,0,10009,690,2903.183946087889
256,3,1,0,10009,1050,3464.6281133212597
257,3,2,0,10128,1098,7039.0688951456505
258,2,2,1,10012,2000,12872.05633466872
259,0,1,1,10019,495,2873.493995596442
260,3,1,0,11205,950,2560.3037999206335
261,0,1,0,10018,580,2987.823341509509
262,2,2,0,10075,1004,7154.43706108104
263,1,1,0,10022,845,3638.596490792477
264,3,2,0,10019,1200,7851.786086870397
265,1,1,0,10009,690,2903.183946087889
266,3,3,0,10019,2600,19125.69550234247
267,2,2,1,10005,1325,9614.892560123531
268,2,1,0,10019,800,2802.123351872273
269,2,2,1,10128,1075,7953.455532602815
270,4,3,1,10019,2890,20342.430093548035
271,0,1,0,10016,580,2905.7173475395302
272,0,1,1,10024,350,1905.8373259298987
273,0,1,0,10010,600,3143.235346058941
274,3,2,1,10010,1890,12005.68262106412
275,4,2,0,10002,1150,6881.011728822734
276,1,1,0,10012,600,1980.0910920472525
277,2,2,0,10017,2016,12626.536886936781
278,1,1,0,10013,655,2291.4993880755937
279,2,2,0,10016,925,6940.621098729509
280,2,1,0,10009,875,3211.4694566710605
281,1,1,0,10028,568,2054.1084410701815
282,2,2,1,10021,1100,8156.957462611228
283,2,1,0,10025,925,3388.5765335719425
284,2,1,0,10016,895,3219.0906720745297
285,2,2,1,10036,1500,10370.242219327083
286,2,2,1,10017,1090,7851.407327069817
287,4,2,1,11249,2600,15089.074271871825
288,0,1,0,10016,580,2905.7173475395302
289,1,1,1,10019,1165,5855.431921928732
290,3,3,1,10282,1725,14311.49952105074
291,0,1,0,10025,550,2744.4420854391146
292,1,1,1,10128,846,3846.461999858504
293,1,1,0,10065,708,2760.199600955799
294,1,1,0,10017,700,2527.2543316784686
295,3,1,0,11216,900,2424.249720004741
296,2,1,0,10010,653,2012.2850975500878
297,2,2,1,10022,1250,9045.439767083284
298,2,2,0,10023,920,6999.268965431502
299,1,1,0,10036,675,2648.071077851475
300,0,1,1,10282,516,2669.0470123727628
301,2,1,0,10028,875,3034.9415696356045
302,2,2,0,10016,915,6885.494244796537
303,1,1,0,10065,580,2054.575870613764
304,0,1,0,10010,560,2922.727930327055
305,6,2,0,10006,900,3738.977931169429
306,4,2,0,10019,1250,7415.859069358452
307,1,1,0,10002,575,2289.7516243512127
308,3,2,0,10003,1100,7214.306253872204
309,1,1,0,10065,710,2771.224971742393
310,2,2,1,10065,1200,8646.646506463458
311,1,1,0,10012,638,2189.573136992545
312,1,1,0,10003,697,2859.6667498709903
313,3,2,0,10021,1175,7529.230465605513
314,1,1,0,10014,700,2535.4649310754667
315,3,2,0,10022,1250,8004.261365580285
316,0,1,0,10011,650,3357.2901202463145
317,1,1,0,10009,710,3013.4376539538316
318,2,1,0,10003,920,3377.4343053994526
319,2,1,0,10016,890,3191.5272451080436
320,2,2,0,10003,750,5996.427653395003
321,1,1,1,10011,600,2699.711677730852
322,3,3,1,10010,2354,18119.718508410064
323,1,1,1,10019,715,3374.723494945014
324,3,2,0,10003,1250,8041.209062866776
325,3,4,1,10128,2907,24453.43361565852
326,3,2,0,10473,1000,6252.507744692592
327,2,1,0,10003,748,2429.252417752343
328,4,2,0,10014,1608,8962.449271514939
329,2,1,0,10025,710,2203.3491740130557
330,4,2,0,10312,2050,11538.636405101242
331,2,1,0,10009,890,3294.159737570517
