,Price,Beds,Baths,Area,Pets,Street,City,Region,Zip
2664,"3,250 ",1,1,650,No,"312 E 30th St Apt 12D,                  ",New York,NY,10016
2665,"2,950 ",1,1,680,No,"493 2nd Ave Apt 16,                  ",New York,NY,10016
2666,"4,334 ",3,1,920,No,"340 E 18th St Apt 1B,                  ",New York,NY,10003
2667,"2,450 ",0,1,530,No,"1100 Madison Ave Unit 1H,                  ",New York,NY,10028
2669,"4,800 ",1,1,690,No,"96 Fifth Ave Unit 7Z,                  ",New York,NY,10011
2670,"3,995 ",2,1,920,No,"207 E 37th St Unit Gf,                  ",New York,NY,10016
2671,"3,295 ",2,1,756,No,"15 W 103rd St Apt 5B,                  ",New York,NY,10025
2672,"2,700 ",2,1,898,No,"348 W 49th St Unit 7,                  ",New York,NY,10019
2673,"3,100 ",1,1,710,No,"380 E 10th St Apt 3D,                  ",New York,NY,10009
2674,"3,400 ",1,1,618,No,"145 W 55th St Apt 8G,                  ",New York,NY,10019
2675,"3,995 ",2,1,920,No,"184 Lexington Ave Apt 6D,                  ",New York,NY,10016
2676,"3,700 ",1,1,750,No,"300 E 34th St Unit 2H,                  ",New York,NY,10016
2677,"3,595 ",1,1,710,No,"145 E 27th St Ph E,                  ",New York,NY,10016
2678,"3,250 ",1,1,650,No,"167 Mott St Apt 1C,                  ",New York,NY,10013
2680,"2,400 ",1,1,595,Yes,"405 W 50th St Apt 4C,                  ",New York,NY,10019
2682,"4,100 ",2,1,910,No,"192 E 3rd St Apt 4D,                  ",New York,NY,10009
2683,"3,295 ",2,1,"3,995",No,"1590 Lexington Ave Apt 7,                  ",New York,NY,10029
2684,"4,595 ",2,1,744,No,"118 E 7th St Apt 5W,                  ",New York,NY,10009
2685,"5,395 ",0,1,890,No,"95 Horatio St Apt 409,                  ",New York,NY,10014
2686,"3,850 ",1,1,710,No,"95 Horatio St Apt 525,                  ",New York,NY,10014
2687,"2,175 ",1,1,640,No,"233 E 77th St Unit 2,                  ",New York,NY,10075
2688,"5,295 ",1,1,800,No,"175 W 60th St Apt 26B,                  ",New York,NY,10023
2689,"2,600 ",1,1,548,No,"328 W 83rd St Unit 3R,                  ",New York,NY,10024
2690,"3,850 ",2,1,885,No,"620 E 6th St Apt 7,                  ",New York,NY,10009
2691,"3,650 ",2,2,800,No,"229 E 53rd St Apt 4W,                  ",New York,NY,10022
2692,"5,150 ",1,1,600,No,"101 W 15th Strret Unit 322,                  ",New York,NY,10011
2693,"2,950 ",1,1,710,No,"380 E 10th St Apt 4C,                  ",New York,NY,10009
2694,"6,850 ",3,2,"1,150",No,"360 E 65th St Apt 2F,                  ",New York,NY,10065
2695,"5,500 ",4,1,"2,200",No,"18 Catherine St Unit 11,                  ",New York,NY,10038
2696,"3,400 ",2,1,890,No,"340 E 29th St Apt 15G,                  ",New York,NY,10016
2697,"6,596 ",2,2,920,Yes,"401 E 34th St Apt N07A,                  ",New York,NY,10016
2698,"6,795 ",2,2,"1,000",No,"115 E 34th St Unit 1703,                  ",New York,NY,10016
2699,"5,200 ",2,2,915,No,"340 E 29th St Apt 14B,                  ",New York,NY,10016
2700,"3,500 ",2,1,746,No,"531 Hudson St Apt 3J,                  ",New York,NY,10014
2701,"4,850 ",2,2,"1,000",No,"519 W 43rd St Unit 27F,                  ",New York,NY,10036
2702,"3,595 ",1,1,710,No,"145 E 27th St Ph D,                  ",New York,NY,10016
2703,"3,300 ",2,1,875,No,"85 Pitt St Unit 3,                  ",New York,NY,10010
2706,"3,042 ",2,1,756,No,"15 W 103rd St Apt 3A,                  ",New York,NY,10025
2707,"7,380 ",4,2,"1,150",No,"200 Stanton St Unit 8,                  ",New York,NY,10002
2708,"4,850 ",1,1,690,No,"96 Fifth Ave Unit 7V,                  ",New York,NY,10011
2709,"4,800 ",1,1,690,No,"96 Fifth Ave Unit 2Y,                  ",New York,NY,10011
2710,"3,042 ",2,1,860,No,"15 W 103rd St Apt 1B,                  ",New York,NY,10025
2711,"5,995 ",2,2,"1,600",No,"1775 York Ave Apt 19H,                  ",New York,NY,10128
2712,"6,995 ",5,1,"1,200",No,"190 E 7th St Apt 715,                  ",New York,NY,10009
2713,"3,895 ",1,1,710,No,"208 W 23rd St Apt 799,                  ",New York,NY,10011
2714,"3,995 ",1,1,920,No,"184 Lexington Ave Apt 7C,                  ",New York,NY,10016
2715,"2,400 ",0,1,585,No,"169 W 85th St Apt 1B,                  ",New York,NY,10024
2716,"4,500 ",1,1,690,No,"96 Fifth Ave Unit 4R,                  ",New York,NY,10011
2717,"2,895 ",0,1,580,No,"200 E 71st St Apt 18F,                  ",New York,NY,10021
2719,"2,950 ",1,1,590,No,"208 E 25th St Apt 20,                  ",New York,NY,10010
2721,"3,550 ",2,1,890,No,"340 E 29th St Unit 15T,                  ",New York,NY,10016
2722,"4,395 ",2,1,932,No,"301 E 47th St Apt 9G,                  ",New York,NY,10017
2723,"3,500 ",2,1,700,No,"160 W 84th St Apt 18,                  ",New York,NY,10024
2724,"4,400 ",1,1,720,No,"41 River Ter Apt 1906,                  ",New York,NY,10282
2725,"4,150 ",1,1,725,No,"25 W 68th St Unit 5D,                  ",New York,NY,10023
2726,"3,795 ",1,1,720,Yes,"201 E 87th St Apt 17H,                  ",New York,NY,10128
2727,"2,750 ",1,1,568,No,"150 E 84th St Apt 3N,                  ",New York,NY,10028
2728,"2,650 ",2,1,800,No,"416 E 73rd St Unit C,                  ",New York,NY,10021
2729,"8,495 ",4,2,"1,500",No,"1386 York Ave Unit 19B,                  ",New York,NY,10021
2730,"2,720 ",1,1,600,No,"306 E 91st St Apt 3D,                  ",New York,NY,10128
2731,"7,000 ",2,2,920,No,"525 E 72nd St Apt 42E,                  ",New York,NY,10021
2732,"6,250 ",2,2,"1,300",No,"130 E 63rd St Apt 3E,                  ",New York,NY,10065
2733,"4,325 ",2,1,915,No,"55 W 55th St Apt 6A,                  ",New York,NY,10019
2734,"4,275 ",1,1,880,No,"210 E 68th St Apt 1A,                  ",New York,NY,10065
2735,"3,500 ",1,1,715,No,"117 E 57th St Apt 25E,                  ",New York,NY,10022
2736,"2,795 ",1,1,600,No,"192 Avenue of the Americas Unit Fn,                  ",New York,NY,10013
2737,"2,300 ",0,1,465,No,"33 Gold St Apt 318,                  ",New York,NY,10038
2738,"5,495 ",3,1,"5,495",No,"130 E 24th St Apt 2D,                  ",New York,NY,10010
2739,"9,750 ",3,2,"1,350",No,"446 Sixth Ave Unit 1,                  ",New York,NY,10011
2740,"4,895 ",2,2,920,No,"145 E 27th St Apt 1F,                  ",New York,NY,10016
2741,"16,250 ",3,2,"2,054",Yes,"30 W 63rd St Unit 17FGH,                  ",New York,NY,10023
2742,"3,550 ",2,1,860,No,"154 E 29th St Unit 1507,                  ",New York,NY,10016
2743,"5,350 ",3,2,"1,250",No,"184 Lexington Ave Apt 7E,                  ",New York,NY,10016
2744,"2,900 ",2,1,800,No,"210 E 87th St Apt 3A,                  ",New York,NY,10128
2745,"3,095 ",0,1,620,No,"1 Astor Pl Apt 8E,                  ",New York,NY,10003
2746,"7,026 ",3,2,"1,200",No,"1 Columbus Pl Apt N18B,                  ",New York,NY,10019
2747,"7,100 ",3,1,"1,100",No,"535 Hudson St Apt 1B,                  ",New York,NY,10014
2748,"7,275 ",3,2,"1,215",No,"222 E 39th St Apt 24G,                  ",New York,NY,10016
2749,"3,475 ",1,1,680,No,"333 E 49th St Apt 6H,                  ",New York,NY,10017
2750,"2,500 ",0,1,465,Yes,"165 Christopher St Apt Lq,                  ",New York,NY,10014
2751,"3,795 ",3,1,"1,300",No,"209 E 10th St Apt 1,                  ",New York,NY,10003
2752,"3,195 ",1,1,589,No,"110 Wooster St Unit 7,                  ",New York,NY,10012
2753,"2,395 ",0,1,470,No,"224 Sullivan St Apt C44,                  ",New York,NY,10012
2754,"2,600 ",1,1,425,Yes,"516 E 80th St Unit 792,                  ",New York,NY,10075
2755,"2,550 ",1,1,690,No,"265 E 78th St Unit 1C,                  ",New York,NY,10075
2756,"2,095 ",0,1,520,No,"524 E 79th St Apt 6A,                  ",New York,NY,10075
2757,"7,000 ",2,2,930,No,"41 River Ter Apt 2807,                  ",New York,NY,10282
2758,"3,950 ",3,1,900,No,"620 E 6th St Unit 17W,                  ",New York,NY,10009
2759,"3,875 ",1,1,545,No,"1 Jane St Unit D,                  ",New York,NY,10014
2760,"3,895 ",2,2,800,No,"112 8th Ave Apt 2R,                  ",New York,NY,10011
2761,"4,395 ",2,1,850,No,"214 E 25th St Apt 2FW,                  ",New York,NY,10010
2762,"3,195 ",2,1,927,No,"127 E 7th St Unit 7,                  ",New York,NY,10009
2763,"5,795 ",2,2,930,No,"121 Reade St Apt 4F,                  ",New York,NY,10013
2764,"5,495 ",2,1,905,No,"141 E 33rd St Apt 9B,                  ",New York,NY,10016
2765,"2,695 ",0,1,560,No,"115 E 34th St Unit 705,                  ",New York,NY,10016
2766,"5,000 ",3,1,"1,350",Yes,"336 Canal St Unit 4,                  ",New York,NY,10013
2767,"3,395 ",1,1,680,No,"121 Madison Ave Apt 5J,                  ",New York,NY,10016
2768,"3,395 ",1,1,710,No,"200 E 33rd St Apt 3H,                  ",New York,NY,10016
2769,"4,950 ",3,2,"1,250",No,"156 E 37th St Apt 2A,                  ",New York,NY,10016
2770,"3,195 ",0,1,570,No,"30 E 18th St Unit 7A,                  ",New York,NY,10003
2771,"3,495 ",1,2,890,No,"154 E 29th St Unit 1202,                  ",New York,NY,10016
2772,"3,750 ",3,1,"1,000",No,"348 W 47th St Apt 1A,                  ",New York,NY,10036
2774,"4,175 ",1,1,720,Yes,"55 W 14th St Apt 8K,                  ",New York,NY,10011
2776,"2,600 ",2,1,790,No,"1427 York Ave Apt 2D,                  ",New York,NY,10021
2777,"4,800 ",1,1,690,No,"96 Fifth Ave Unit 6T,                  ",New York,NY,10011
2778,"1,800 ",0,1,485,Yes,"156 E 82nd St Unit 1C,                  ",New York,NY,10028
2779,"3,195 ",2,1,710,No,"15 W 103rd St Unit A,                  ",New York,NY,10025
2780,"2,950 ",1,1,710,No,"191 E 76th St Apt 5F,                  ",New York,NY,10021
2781,"4,925 ",1,1,890,Yes,"55 W 14th St Apt 7J,                  ",New York,NY,10011
2782,"2,725 ",1,1,600,No,"306 E 91st St Apt 2A,                  ",New York,NY,10128
2783,"16,200 ",4,4,"2,500",Yes,"210 E 68th St Unit 11AB,                  ",New York,NY,10065
2784,"2,195 ",0,1,402,No,"154 Orchard St Apt 13,                  ",New York,NY,10002
2785,"2,150 ",1,1,522,No,"337 E 90th St Apt 4B,                  ",New York,NY,10128
2786,"5,465 ",2,1,790,No,"952 Fifth Ave Unit 2F,                  ",New York,NY,10075
2787,"3,050 ",1,1,710,No,"140 E 46th St Apt 10R,                  ",New York,NY,10017
2788,"3,995 ",3,1,"1,250",No,"1590 Lexington Ave Unit 2,                  ",New York,NY,10029
2789,"2,450 ",1,2,600,No,"188 E 93rd St Apt 2C,                  ",New York,NY,10128
2790,"5,795 ",1,2,900,No,"175 W 60th St Unit 13A,                  ",New York,NY,10023
2793,"3,400 ",2,1,750,No,"167 Mott St Unit 6K,                  ",New York,NY,10013
2795,"3,600 ",2,1,890,No,"340 E 29th St Unit 16M,                  ",New York,NY,10016
2796,"6,180 ",4,2,"1,250",No,"450 W 50th St Apt 2F,                  ",New York,NY,10019
2798,"2,765 ",1,1,690,No,"521 E 5th St Apt 1C,                  ",New York,NY,10009
2799,"2,510 ",1,1,558,No,"356 E 13th St Apt 5,                  ",New York,NY,10003
2804,"2,900 ",1,1,678,No,"310 E 75th St Apt 4K,                  ",New York,NY,10021
2807,"3,695 ",1,1,700,No,"300 E 75th St Apt 15G,                  ",New York,NY,10021
2809,"3,504 ",1,1,690,No,"250 Mott St Apt 18,                  ",New York,NY,10012
2810,"11,500 ",2,2,"1,358",Yes,"200 N End Ave Apt 27A,                  ",New York,NY,10282
2811,"4,795 ",3,2,900,No,"185 E 3rd St Apt 3E,                  ",New York,NY,10009
2812,"6,910 ",3,2,"1,120",No,"2 Gold St Apt 4802,                  ",New York,NY,10038
2813,"2,395 ",1,1,690,No,"402 E 78th St Apt 13,                  ",New York,NY,10075
2814,"2,125 ",1,1,650,No,"158 W 84th St Apt 5A,                  ",New York,NY,10024
2815,"2,875 ",1,1,540,No,"52 W 56th St Apt 3R,                  ",New York,NY,10019
2816,"3,850 ",1,1,720,Yes,"201 E 87th St Apt 25H,                  ",New York,NY,10128
2817,"3,650 ",1,1,895,No,"141 E 56th St Apt 3A,                  ",New York,NY,10022
2818,"3,650 ",1,1,890,No,"154 E 29th St Unit 1705,                  ",New York,NY,10016
2819,"2,395 ",1,1,690,No,"402 E 78th St Apt 13,                  ",New York,NY,10075
2820,"2,125 ",1,1,650,No,"158 W 84th St Apt 5A,                  ",New York,NY,10024
2821,"2,875 ",1,1,540,No,"52 W 56th St Apt 3R,                  ",New York,NY,10019
2822,"3,850 ",1,1,720,Yes,"201 E 87th St Apt 25H,                  ",New York,NY,10128
2823,"2,195 ",0,1,560,No,"241 E 46th St Apt 1A,                  ",New York,NY,10017
2824,"4,050 ",3,1,"1,250",No,"163 E 92nd St Apt 17,                  ",New York,NY,10128
2825,"5,350 ",3,2,"1,250",No,"184 Lexington Ave Apt 2E,                  ",New York,NY,10016
2826,"3,495 ",1,1,750,No,"166 E 34th St Unit 1911,                  ",New York,NY,10016
2827,"2,995 ",0,1,500,No,"75 Thompson St Apt 1,                  ",New York,NY,10012
2828,"3,995 ",3,1,"1,000",No,"207 E 37th St Apt 5A,                  ",New York,NY,10016
2829,"4,000 ",1,1,589,No,"223 Mott St Unit A,                  ",New York,NY,10010
2830,"2,495 ",1,1,492,No,"153 E 32nd St Apt 6G,                  ",New York,NY,10016
2831,"6,050 ",4,2,"1,175",No,"190 E 7th St Apt 611,                  ",New York,NY,10009
2832,"6,750 ",2,2,"1,000",Yes,"70 Battery Pl Apt 825,                  ",New York,NY,10280
2834,"3,300 ",1,1,730,No,"620 W 143rd St Unit Phaa,                  ",New York,NY,10031
2835,"4,162 ",2,1,910,No,"45 Wall St Apt 715,                  ",New York,NY,10005
2836,"7,995 ",4,2,"1,500",No,"301 E 47th St Apt 8A,                  ",New York,NY,10017
2837,"2,689 ",0,1,650,Yes,"204 W 83rd St Unit 4C,                  ",New York,NY,10024
2838,"5,460 ",2,1,790,No,"952 Fifth Ave Unit 3C,                  ",New York,NY,10075
2839,"5,295 ",3,1,960,No,"12 E 22nd St Apt 2G,                  ",New York,NY,10010
2840,"4,950 ",1,1,710,No,"1 Jane St Apt 5B,                  ",New York,NY,10014
2841,"4,125 ",2,1,900,No,"308 Bleecker St Unit 2A,                  ",New York,NY,10014
2842,"3,950 ",2,1,789,Yes,"19 Commerce St Apt 3,                  ",New York,NY,10014
2843,"4,150 ",3,1,"1,000",No,"219 E 89th St Unit C,                  ",New York,NY,10128
2844,"4,519 ",3,1,"1,150",No,"60 Avenue B Unit Ba,                  ",New York,NY,10009
2845,"3,042 ",1,1,710,No,"141 Ridge St Unit Aa,                  ",New York,NY,10002
2846,"4,295 ",2,2,860,Yes,"152 E 84th St Unit F,                  ",New York,NY,10028
2847,"4,427 ",4,1,"1,150",No,"326 W 100th St Unit 4D,                  ",New York,NY,10025
2848,"5,449 ",3,2,"1,000",No,"226 E 70th St Apt 3F,                  ",New York,NY,10021
2856,"1,800 ",1,1,750,Yes,"603 Isham St Apt 1B,                  ",New York,NY,10034
2859,950 ,1,1,144,No,"117 45 122nd Bedroom with Bathroom Shared Kitchen St Unit Master,                  ",Queens,NY,11420
2860,"1,937 ",1,1,800,Yes,"119 Metropolitan Ave Unit 4H,                  ",Queens,NY,11415
2861,"15,000 ",2,2,"1,379",Yes,"80 Columbus Cir Unit 64C,                  ",New York,NY,10023
2862,"8,750 ",2,2,"1,200",Yes,"30 E 85th St Apt 9D,                  ",New York,NY,10028
2863,"5,000 ",2,1,"1,000",No,"166 E 63rd St Apt 12F,                  ",New York,NY,10065
2864,"2,400 ",0,1,450,No,"321 E 48th St Apt 2D,                  ",Manhattan,NY,10017
2866,"2,850 ",3,1,"1,100",No,"42-24 78 St Unit 1F,                  ",Elmhurst,NY,11373
2867,"2,500 ",3,2,"1,000",No,"505 Thieriot Ave Unit 2,                  ",Bronx,NY,10473
2869,"4,495 ",1,1,632,Yes,"60 Water St Apt 816,                  ",Brooklyn,NY,11201
2870,"6,995 ",1,2,934,Yes,"180 W 20th St Apt 3T,                  ",New York,NY,10011
2871,"4,295 ",1,1,630,Yes,"30 Washington St Apt 4P,                  ",Brooklyn,NY,11201
2872,"3,800 ",0,1,566,Yes,"377 E 33rd St Apt 11N,                  ",New York,NY,10016
2873,"7,500 ",1,1,900,Yes,"800 Fifth Ave Unit 8E,                  ",New York,NY,10065
2874,"15,525 ",2,3,"1,650",Yes,"985 Fifth Ave Unit 10A,                  ",New York,NY,10021
2875,"2,200 ",1,1,700,Yes,"203 Green St Apt 3R,                  ",Brooklyn,NY,11222
2876,"4,225 ",1,1,726,Yes,"255 W 94th St Apt 11W,                  ",New York,NY,10025
2877,"3,750 ",1,1,650,No,"200 E 72nd St Apt 7D,                  ",New York,NY,10021
2878,"1,800 ",2,1,800,No,"2384 Hoffman St Apt 3A,                  ",Bronx,NY,10458
2879,"2,995 ",1,1,714,Yes,"306 Gold St Apt 6L,                  ",Brooklyn,NY,11201
2888,"2,125 ",1,1,450,No,"509 E 85th St Unit 5F,                  ",Manhattan,NY,10028
2905,"2,750 ",2,2,"1,100",No,"133-38 Sanford Ave Unit 16B,                  ",Flushing,NY,11355
2920,"2,200 ",3,1,"2,914",Yes,"249 Kearney Ave,                  ",Bronx,NY,10465
2922,"1,575 ",1,1,850,Yes,"3120 W Kingsbridge Ave Unit 3C,                  ",Bronx,NY,10463
2923,"4,800 ",1,1,"1,000",No,"20 W 68th St Apt 2B,                  ",New York,NY,10023
2929,"6,850 ",1,1,"1,121",No,"141 E 56th St Ph D,                  ",New York,NY,10022
2930,"2,950 ",2,1,870,No,"234 E 58th St Apt 5,                  ",New York,NY,10022
2931,"2,450 ",0,1,496,No,"69 W 55th St Apt 4B,                  ",New York,NY,10019
2932,"3,650 ",1,1,845,No,"123 E 54th St Apt 2B,                  ",New York,NY,10022
2933,"3,552 ",1,1,902,No,"141 E 33rd St Apt 3G,                  ",New York,NY,10016
2934,"2,350 ",0,1,600,No,"238 E 38th St Unit 3H,                  ",New York,NY,10016
2935,"2,959 ",0,1,515,No,"66 W 38th St Apt 16C,                  ",New York,NY,10018
2936,"4,500 ",1,1,701,No,"137 E 38th St Apt 6F,                  ",New York,NY,10016
2937,"2,650 ",1,1,670,No,"148 W 68th St Apt 1E,                  ",New York,NY,10023
2938,"5,995 ",3,2,"1,190",No,"115 E 34th St Unit 903,                  ",New York,NY,10016
2939,"2,995 ",2,1,890,No,"207 E 37th St Apt 5F,                  ",New York,NY,10016
2940,"3,525 ",1,1,710,No,"200 E 33rd St Apt 21H,                  ",New York,NY,10016
2941,"3,225 ",0,1,580,No,"227 Mulberry St Apt 6D,                  ",New York,NY,10012
2942,"3,395 ",2,1,890,No,"311 E 25th St Apt 2A,                  ",New York,NY,10010
2943,"3,495 ",1,1,700,No,"1775 York Ave Apt 28C,                  ",New York,NY,10128
2944,"8,695 ",4,3,"1,400",No,"1755 York Ave Apt 35F,                  ",New York,NY,10128
2945,"5,195 ",2,2,920,No,"1365 York Ave Apt 9D,                  ",New York,NY,10021
2946,"7,700 ",2,2,960,No,"145 E 16th St Apt 4N,                  ",New York,NY,10003
2947,"4,900 ",1,1,810,Yes,"300 N End Ave Unit 13H,                  ",New York,NY,10282
2948,"4,095 ",0,1,580,No,"110 Horatio St Apt 405,                  ",New York,NY,10014
2949,"3,895 ",1,1,690,No,"45 W 60th St Unit 13G,                  ",New York,NY,10023
2950,"3,688 ",2,1,820,No,"416 E 13th St Apt 5A,                  ",New York,NY,10009
2951,"3,552 ",1,1,902,No,"141 E 33rd St Apt 3G,                  ",New York,NY,10016
2952,"2,350 ",0,1,600,No,"238 E 38th St Unit 3H,                  ",New York,NY,10016
2953,"2,959 ",0,1,515,No,"66 W 38th St Apt 16C,                  ",New York,NY,10018
2954,"4,500 ",1,1,701,No,"137 E 38th St Apt 6F,                  ",New York,NY,10016
2955,"2,650 ",1,1,670,No,"148 W 68th St Apt 1E,                  ",New York,NY,10023
2956,"5,995 ",3,2,"1,190",No,"115 E 34th St Unit 903,                  ",New York,NY,10016
2957,"2,995 ",2,1,890,No,"207 E 37th St Apt 5F,                  ",New York,NY,10016
2958,"2,950 ",2,1,870,No,"234 E 58th St Apt 5,                  ",New York,NY,10022
2959,"2,400 ",1,1,680,No,"350 E 91st St Apt 8,                  ",New York,NY,10128
2960,"2,300 ",0,1,550,No,"200 Riverside Dr Apt 1D,                  ",New York,NY,10025
2961,"3,295 ",1,1,705,No,"325 E 5th St Unit B,                  ",New York,NY,10003
2962,"4,375 ",1,1,732,No,"157 E 57th St Apt 6B,                  ",New York,NY,10022
2963,"3,525 ",0,1,580,No,"12 E 22nd St Unit 1B,                  ",New York,NY,10010
2964,"3,295 ",1,1,845,No,"123 E 54th St Apt 6G,                  ",New York,NY,10022
2965,"3,995 ",0,1,550,No,"101 W 15th Strret Unit 102,                  ",New York,NY,10011
2967,"4,695 ",2,1,844,No,"295 Park Ave S Apt 2F,                  ",New York,NY,10010
2968,"2,695 ",1,1,695,No,"315 E 21st St Unit Z,                  ",New York,NY,10010
2969,"1,725 ",0,1,580,No,"4960 Broadway Unit F,                  ",New York,NY,10034
2970,"3,650 ",1,1,632,Yes,"201 E 87th St Apt 29G,                  ",New York,NY,10128
2971,"3,150 ",2,1,945,No,"306 E 91st St Apt 1C,                  ",New York,NY,10128
2972,"3,850 ",2,2,920,No,"1680 York Ave Apt 1K,                  ",New York,NY,10128
2973,"5,495 ",3,2,"1,050",No,"500 E 77th St Apt 1736,                  ",New York,NY,10162
2976,"4,500 ",3,1,"1,000",No,"441 E 12th St Apt 4E,                  ",New York,NY,10009
2977,"4,150 ",1,1,840,Yes,"251 E 32nd St Unit 6E,                  ",New York,NY,10016
2978,"2,880 ",0,1,540,No,"340 E 34th St Apt 6E,                  ",New York,NY,10016
2979,"3,160 ",0,1,620,No,"2 Gold St Apt 2209,                  ",New York,NY,10038
2981,"3,600 ",1,1,600,No,"307 Mott St Unit 4U,                  ",New York,NY,10012
2982,"7,500 ",2,2,960,No,"145 E 16th St Apt 6B,                  ",New York,NY,10003
2987,"3,525 ",0,1,580,No,"12 E 22nd St Apt 4B,                  ",New York,NY,10010
2988,"6,000 ",2,1,"1,151",No,"210 E 68th St Apt 4G,                  ",New York,NY,10065
2989,"5,295 ",2,1,935,No,"115 Mulberry St Apt 4F,                  ",New York,NY,10013
2990,"4,200 ",1,1,710,No,"145 E 16th St Unit 1A,                  ",New York,NY,10003
2991,"3,650 ",1,1,700,No,"141 E 56th St Apt 2K,                  ",New York,NY,10022
2992,"3,395 ",1,1,700,No,"325 E 5th St Apt F3,                  ",New York,NY,10003
2993,"4,795 ",2,2,920,No,"145 E 27th St Unit 2P,                  ",New York,NY,10016
2994,"4,450 ",1,1,655,No,"284 Mott St Apt 8O,                  ",New York,NY,10012
2995,"1,725 ",0,1,580,No,"4960 Broadway Unit F,                  ",New York,NY,10034
2997,"4,600 ",3,1,"1,050",No,"647 E 11th Copy St Unit 1,                  ",New York,NY,10009
2999,"4,500 ",3,1,"1,000",No,"441 E 12th St Apt 4E,                  ",New York,NY,10009
3000,"4,150 ",1,1,840,Yes,"251 E 32nd St Unit 6E,                  ",New York,NY,10016
3001,"3,160 ",0,1,620,No,"2 Gold St Apt 2209,                  ",New York,NY,10038
3003,"3,600 ",1,1,600,No,"307 Mott St Unit 4U,                  ",New York,NY,10012
3004,"7,500 ",2,2,960,No,"145 E 16th St Apt 6B,                  ",New York,NY,10003
3005,"4,450 ",1,1,620,No,"1 Astor Pl Apt 5B,                  ",New York,NY,10003
3007,"2,895 ",0,1,550,No,"220 Sullivan St Apt 2D,                  ",New York,NY,10012
3008,"16,800 ",4,3,"1,300",No,"300 E 56th St Apt 31G,                  ",New York,NY,10022
3009,"4,295 ",1,1,690,No,"350 E 79th St Unit 13F,                  ",New York,NY,10075
3010,"8,995 ",2,2,920,No,"1930 Broadway Apt 28D,                  ",New York,NY,10023
3011,"1,900 ",0,1,460,No,"305 W 45th St Apt 3K,                  ",New York,NY,10036
3013,"4,500 ",1,1,812,No,"166 2nd Ave Unit 5K,                  ",New York,NY,10009
3019,"2,895 ",0,1,550,No,"220 Sullivan St Unit 3L,                  ",New York,NY,10012
3020,"5,350 ",1,1,730,No,"145 E 16th St Apt 10B,                  ",New York,NY,10003
3021,"6,500 ",2,2,701,No,"137 E 38th St Unit 4L,                  ",New York,NY,10016
3022,"4,900 ",1,1,701,No,"137 E 38th St Unit 10T,                  ",New York,NY,10016
3024,"2,350 ",1,1,540,No,"207 E 27th St Unit 3W,                  ",New York,NY,10016
3025,"4,995 ",2,1,820,No,"92 St Marks Pl Unit 1B,                  ",New York,NY,10009
3026,"6,600 ",3,2,"1,000",No,"157 E 57th St Apt 15C,                  ",New York,NY,10022
3027,"3,495 ",1,1,710,No,"200 E 33rd St Apt 22F,                  ",New York,NY,10016
3028,"2,650 ",1,1,690,No,"328 W 47th St Apt 2C,                  ",New York,NY,10036
3029,"1,825 ",0,1,398,No,"338 W 53rd St,                  ",New York,NY,10019
3030,"3,850 ",1,1,675,No,"235 W 48th St Apt 8R,                  ",New York,NY,10036
3031,"4,460 ",2,1,900,No,"227 Mulberry St Unit 1H,                  ",New York,NY,10012
3032,"3,195 ",1,1,710,No,"145 E 27th St Ph H,                  ",New York,NY,10016
3033,"3,495 ",2,1,890,No,"328 W 47th St Unit B,                  ",New York,NY,10036
3034,"2,350 ",1,1,540,No,"207 E 27th St Apt 4D,                  ",New York,NY,10016
3035,"4,200 ",2,1,950,No,"300 E 34th St Apt 7G,                  ",New York,NY,10016
3036,"2,295 ",0,1,560,No,"315 E 21st St Apt 6D,                  ",New York,NY,10010
3037,"2,796 ",0,1,550,No,"2 Gold St Apt 4M,                  ",New York,NY,10038
3038,"6,450 ",2,2,"1,237",No,"147 W 79th St Unit 9B,                  ",New York,NY,10024
3039,"6,500 ",2,2,701,No,"137 E 38th St Unit 4L,                  ",New York,NY,10016
3040,"3,050 ",1,1,700,No,"140 E 46th St Apt 10K,                  ",New York,NY,10017
3041,"2,796 ",0,1,550,No,"2 Gold St Apt 4M,                  ",New York,NY,10038
3042,"6,450 ",2,2,"1,237",No,"147 W 79th St Unit 9B,                  ",New York,NY,10024
3043,"5,275 ",1,1,710,No,"110 Horatio St Apt 719,                  ",New York,NY,10014
3044,"4,057 ",1,1,700,No,"95 Perry St Apt 2,                  ",New York,NY,10014
3045,"3,150 ",0,1,620,No,"1 Astor Pl Apt 6E,                  ",New York,NY,10003
3046,"6,200 ",2,2,920,No,"147 W 79th St Unit 4B,                  ",New York,NY,10024
3047,"3,600 ",1,1,711,No,"145 W 55th St Apt 6B,                  ",New York,NY,10019
3048,"2,350 ",1,1,690,No,"444 E 81st St Apt 28,                  ",New York,NY,10028
3049,"3,150 ",0,1,560,No,"210 W 89th St Apt 9H,                  ",New York,NY,10024
3050,"2,125 ",0,1,470,No,"322 E 81st St Apt 2RW,                  ",New York,NY,10028
3051,"3,575 ",0,1,600,No,"690 Greenwich St Apt 3F,                  ",New York,NY,10014
3052,"6,500 ",2,1,"1,222",No,"147 W 79th St Unit 10A,                  ",New York,NY,10024
3053,"2,999 ",1,1,720,No,"15 Stanton St Apt 2A,                  ",New York,NY,10002
3054,"2,765 ",1,1,690,No,"722 10th Ave Unit 4Z,                  ",New York,NY,10019
