,Price,Beds,Baths,Area,Pets,Street,City,Region,Zip
237,"3,900 ",3,1,"2,150",No,"1893 Pacific St # 3,                  ",Brooklyn,NY,11233
238,"4,875 ",2,1,900,Yes,"321 Wythe Ave,                  ",Brooklyn,NY,11249
239,"3,000 ",3,2,"1,320",No,"664 Pennsylvania Ave # 3,                  ",Brooklyn,NY,11207
240,"3,500 ",3,2,"2,000",Yes,"140-33 69th Ave,                  ",Flushing,NY,11367
241,"16,750 ",3,3,"2,153",Yes,"30 W 63rd St Apt 12CD,                  ",New York,NY,10023
242,"2,475 ",1,1,680,Yes,"1326 Ocean Ave,                  ",Brooklyn,NY,11230
243,"1,900 ",2,1,800,No,"394 E 53rd St Apt 2,                  ",Brooklyn,NY,11203
244,"37,550 ",4,3,"2,740",Yes,"30 W 63rd St # 27EFGH,                  ",New York,NY,10023
245,"3,800 ",4,2,"2,400",No,"41 W 126th St Apt 1,                  ",New York,NY,10027
246,"5,350 ",3,2,"1,100",Yes,"600 W 58th St Apt 6K,                  ",New York,NY,10019
247,"1,700 ",1,1,640,Yes,"2015 Homecrest Ave # 3B,                  ",Brooklyn,NY,11229
248,"3,175 ",2,1,850,Yes,"447 Meeker Ave,                  ",Brooklyn,NY,11222
249,"2,895 ",2,1,800,Yes,"1016 Carroll St,                  ",Brooklyn,NY,11225
250,"2,700 ",5,1,"1,800",No,"15 Van Buren St # 2ND,                  ",Staten Island,NY,10301
251,"3,400 ",1,2,680,Yes,"1266 Pacific St,                  ",Brooklyn,NY,11216
252,"3,125 ",2,2,850,Yes,"35 Claver Pl,                  ",Bedstuy,NY,11238
253,"4,241 ",2,1,630,No,"63 W 104th St Apt 504,                  ",New York,NY,10025
254,"5,350 ",3,2,"1,100",Yes,"600 W 58th St Apt 5F,                  ",New York,NY,10019
255,"5,534 ",3,2,110,Yes,"600 W 58th St Apt 7A,                  ",New York,NY,10019
256,"2,800 ",2,1,"1,200",No,"02ocean Ave N,                  ",Arverne,NY,11692
257,"3,299 ",2,1,850,Yes,"371 5th Ave,                  ",Brooklyn,NY,11215
258,"4,300 ",4,3,"1,200",Yes,"319 Malcolm X Blvd,                  ",Brooklyn,NY,11233
